$PRACTISCORE 1.682 RESULTS
$INFO Region:USPSA
$INFO PLATFORM IOS
$INFO PractiScore_Product: PractiScore (iOS)
$INFO PractiScore_Version:1.682
$INFO Match name:NW01 USPSA May 18, 2021
$INFO Match date:05/18/2021
$INFO Club Name:Paul Bunyan Rifle & Sportsman's Club
$INFO Club Code:NW01
$INFO Multigun:0
$INFO Scoring:0
$INFO Classifiers:1
$INFO Match Level: Level I
Z 3.0
A NW01 USPSA May 18, 2021,Paul Bunyan Rifle & Sportsman's Club,05/18/2021
D Comp,USPSA,FirstName,LastName,DQPistol,DQRifle,DQShotgun,Reentry,Class,Division,Match Points,Place Overall,Power Factor,Shotgun Division,Shotgun Power Factor,Shotgun Place Overall,Shotgun Entered,Shotgun Match Points,Rifle Division,Rifle Power Factor,Rifle Place Overall,Rifle Entered,Rifle Match Points,Aggregate,Aggregate Division,Aggregate Pistol Percent,Aggregate Pistol Points,Aggregate Place,Aggregate Rifle Percent,Aggregate Rifle Points,Aggregate Shotgun Percent,Aggregate Shotgun Points,Aggregate Total,Female,Age,Law,Military
E 1,A116865,Josh,Stone,No,No,No,No,A,Carry Optics,488.2491,1,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 2,fy108653,Luke,Schwebke,No,No,No,No,A,Carry Optics,450.5751,2,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 3,TY100339,Chris,McMeen,No,No,No,No,A,Carry Optics,443.5371,3,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 4,A129511,Keanu,Dunn,No,No,No,No,A,Carry Optics,420.5087,4,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 5,Ty24792,Alan,Kies,No,No,No,No,A,Carry Optics,403.3906,5,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 6,A128950,Chris,Ries,No,No,No,No,B,Carry Optics,359.3370,6,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 7,A134401,William,Palonis,No,No,No,No,U,Carry Optics,310.9119,7,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 8,A134477,Julian,Dizon,No,No,No,No,U,Carry Optics,309.9447,8,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 9,A116768,Nuu,Punimata,No,No,No,No,U,Carry Optics,264.6164,9,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 10,A134605,Jose,Zarate,No,No,No,No,U,Carry Optics,84.0487,10,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 11,l3253,Scott,LeRoux,No,No,No,No,M,Limited,501.9819,1,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 12,A88085,Evan,Tisler,No,No,No,No,B,Limited,482.9816,2,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 13,A51227,Kevin,Olson,No,No,No,No,A,Limited,382.4056,3,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 14,A133024,Alex,Skaggs,No,No,No,No,D,Limited,380.2418,4,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 15,TY83510,Dan,Burns,No,No,No,No,C,Limited,369.5060,5,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 16,NOT_A_MEMBER,John,Dalessandro,No,No,No,No,U,Limited,186.6700,6,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 17,Ty86951,Emilio,Domingo,No,No,No,No,A,Open,491.7118,1,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 18,a85786,Noel,Domingo,No,No,No,No,M,Open,483.4316,2,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 19,Ty47022,Bruce,Wood,No,No,No,No,A,Open,367.6881,3,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 20,A130582,BRADLEY,VANPELT,No,No,No,No,U,Open,335.8246,4,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 21,ty63903,Bill,Johnston,No,No,No,No,B,PCC,520.0000,1,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 22,Fy89148,David,Dupree,No,No,No,No,B,PCC,410.5863,2,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 23,A102696,Patrick,Kleinbeck,Yes,No,No,No,C,PCC,0.0000,3,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 24,A118767,Joe,Bawden,No,No,No,No,B,Production,520.0000,1,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 25,A107112,Brett,Miller,No,No,No,No,U,Production,130.4054,2,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 26,fy105750,lee,boyle,No,No,No,No,B,Single Stack,483.8793,1,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 27,FY27156,Steve,Clemo,No,No,No,No,B,Single Stack,466.4826,2,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 28,Ty127333,Bong,Astrologo,Yes,No,No,No,U,Single Stack,0.0000,3,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
F Number,Guntype,Minimum Rounds,Maximum Points,Classifier,Classifier_No,Stage_name,ScoringType,TimesRun
G 1,Pistol,22,110,No,,Stage 1 Zig - Zag,Virginia,1
G 2,Pistol,24,120,No,,Stage 2 port city,Comstock,1
G 3,Pistol,26,130,No,,Stage 3 Attack III,Comstock,1
G 4,Pistol,22,110,No,,Stage 4      4 LOCO,Comstock,1
G 5,Pistol,10,50,Yes,03-05,Paper Poppers,Comstock,1
H Gun,Stage,Comp,DQ,DNF,A,B,C,D,Miss,No Shoot,Procedural,Double Poppers,Double Popper Miss,Late Shot,Extra Shot,Extra Hit,No Penalty Miss,Additional Penalty,Total Penalty,T1,T2,T3,T4,T5,Time,Raw Points,Total Points,Hit Factor,Stage Points,Stage Place,Stage Power Factor
I Pistol,1,1,No,No,18,0,3,0,1,0,0,0,0,0,0,0,0,0,10,14.44,0,0,0,0,14.44,99,89,6.1634,104.4338,2,
I Pistol,1,2,No,No,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16.02,0,0,0,0,16.02,104,104,6.4919,110.0000,1,
I Pistol,1,3,No,No,18,0,3,1,0,0,0,0,0,0,0,0,0,0,0,16.98,0,0,0,0,16.98,100,100,5.8893,99.7894,4,
I Pistol,1,4,No,No,18,0,4,0,0,0,1,0,0,0,0,0,0,0,10,17.23,0,0,0,0,17.23,102,92,5.3395,90.4735,5,
I Pistol,1,5,No,No,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.29,0,0,0,0,23.29,110,110,4.7231,80.0291,6,
I Pistol,1,6,No,No,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17.63,0,0,0,0,17.63,104,104,5.8990,99.9538,3,
I Pistol,1,7,No,No,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35.58,0,0,0,0,35.58,108,108,3.0354,51.4324,9,
I Pistol,1,8,No,No,20,0,1,0,1,0,0,0,0,0,0,0,0,0,10,28.37,0,0,0,0,28.37,103,93,3.2781,55.5448,8,
I Pistol,1,9,No,No,21,0,0,0,1,1,0,0,0,0,0,0,0,0,20,25.3,0,0,0,0,25.30,105,85,3.3597,56.9274,7,
I Pistol,1,10,No,No,18,0,1,0,3,1,0,0,0,0,0,0,0,0,40,43.17,0,0,0,0,43.17,93,53,1.2277,20.8024,10,
I Pistol,1,11,No,No,17,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17.66,0,0,0,0,17.66,105,105,5.9456,110.0000,1,
I Pistol,1,12,No,No,17,0,4,0,1,0,0,0,0,0,0,0,0,0,10,15.48,0,0,0,0,15.48,97,87,5.6202,103.9797,2,
I Pistol,1,13,No,No,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20.44,0,0,0,0,20.44,107,107,5.2348,96.8494,3,
I Pistol,1,14,No,No,13,0,8,0,1,0,0,0,0,0,0,0,0,0,10,19.66,0,0,0,0,19.66,89,79,4.0183,74.3429,5,
I Pistol,1,15,No,No,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24.91,0,0,0,0,24.91,108,108,4.3356,80.2133,4,
I Pistol,1,16,No,No,9,0,12,0,1,0,0,0,0,0,0,0,0,0,10,29.38,0,0,0,0,29.38,81,71,2.4166,44.7097,6,
I Pistol,1,17,No,No,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14.65,0,0,0,0,14.65,107,107,7.3038,110.0000,1,
I Pistol,1,18,No,No,13,0,6,1,2,0,0,0,0,0,0,0,0,0,20,13.16,0,0,0,0,13.16,91,71,5.3951,81.2537,3,
I Pistol,1,19,No,No,16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20.06,0,0,0,0,20.06,104,104,5.1844,78.0805,4,
I Pistol,1,20,No,No,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19.24,0,0,0,0,19.24,107,107,5.5613,83.7568,2,
I Pistol,1,21,No,No,20,0,1,0,1,0,0,0,0,0,0,0,0,0,10,22.74,0,0,0,0,22.74,103,93,4.0897,110.0000,1,
I Pistol,1,22,No,No,16,0,6,0,0,1,2,0,0,0,0,0,0,0,30,25.89,0,0,0,0,25.89,98,68,2.6265,70.6445,2,
I Pistol,1,23,Yes,No,16,0,3,0,3,0,0,0,0,0,0,0,0,0,30,34.31,0,0,0,0,34.31,89,0,0.0000,0.0000,3,
I Pistol,1,24,No,No,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18.71,0,0,0,0,18.71,102,102,5.4516,110.0000,1,
I Pistol,1,25,No,No,8,0,8,0,6,0,0,0,0,0,0,0,0,0,60,34.01,0,0,0,0,34.01,64,4,0.1176,2.3729,2,
I Pistol,1,26,No,No,12,0,6,2,2,0,0,0,0,0,0,0,0,0,20,23.37,0,0,0,0,23.37,88,68,2.9097,84.5106,2,
I Pistol,1,27,No,No,16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,27.46,0,0,0,0,27.46,104,104,3.7873,110.0000,1,
I Pistol,1,28,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.0000,0.0000,3,
I Pistol,2,1,No,No,20,0,3,0,1,0,0,2,0,0,0,0,0,0,10,16.62,0,0,0,0,16.62,109,99,5.9567,107.5961,2,
I Pistol,2,2,No,No,20,0,2,0,2,0,0,2,0,0,0,0,0,0,20,17.84,0,0,0,0,17.84,106,86,4.8206,87.0747,5,
I Pistol,2,3,No,No,16,0,6,0,2,0,0,2,0,0,0,0,0,0,20,15.37,0,0,0,0,15.37,98,78,5.0748,91.6663,4,
I Pistol,2,4,No,No,20,0,3,0,1,0,0,2,0,0,0,0,0,0,10,17.11,0,0,0,0,17.11,109,99,5.7861,104.5146,3,
I Pistol,2,5,No,No,21,0,3,0,0,0,0,2,0,0,0,0,0,0,0,17.16,0,0,0,0,17.16,114,114,6.6434,120.0000,1,
I Pistol,2,6,No,No,16,0,7,0,1,0,0,2,0,0,0,0,0,0,10,22.16,0,0,0,0,22.16,101,91,4.1065,74.1759,7,
I Pistol,2,7,No,No,22,0,2,0,0,0,0,2,0,0,0,0,0,0,0,24.89,0,0,0,0,24.89,116,116,4.6605,84.1828,6,
I Pistol,2,8,No,No,22,0,0,0,2,0,0,2,0,0,0,0,0,0,20,23.15,0,0,0,0,23.15,110,90,3.8877,70.2237,8,
I Pistol,2,9,No,No,16,0,7,0,1,2,0,2,0,0,0,0,0,0,30,20.11,0,0,0,0,20.11,101,71,3.5306,63.7734,9,
I Pistol,2,10,No,No,17,0,0,1,6,1,0,2,0,0,0,0,0,0,70,34.86,0,0,0,0,34.86,86,16,0.4590,8.2909,10,
I Pistol,2,11,No,No,20,0,4,0,0,0,0,2,0,0,0,0,0,0,0,16.12,0,0,0,0,16.12,116,116,7.1960,120.0000,1,
I Pistol,2,12,No,No,18,0,5,0,1,0,0,2,0,0,0,0,0,0,10,16.54,0,0,0,0,16.54,105,95,5.7437,95.7815,2,
I Pistol,2,13,No,No,19,0,4,0,1,1,0,2,0,0,0,0,0,0,20,23.77,0,0,0,0,23.77,111,91,3.8284,63.8421,5,
I Pistol,2,14,No,No,20,0,4,0,0,0,0,2,0,0,0,0,0,0,0,21.09,0,0,0,0,21.09,112,112,5.3106,88.5592,3,
