$PRACTISCORE 1.682 RESULTS
$INFO Region:USPSA
$INFO PLATFORM IOS
$INFO PractiScore_Product: PractiScore (iOS)
$INFO PractiScore_Version:1.682
$INFO Match name:NW15 Port Townsend Practical Pistol USPSA May 7, 2022
$INFO Match date:05/07/2022
$INFO Club Name:asdf
$INFO Club Code:JCSA
$INFO Multigun:0
$INFO Scoring:0
$INFO Classifiers:1
$INFO Match Level: Level I
Z 3.0
A NW15 Port Townsend Practical Pistol USPSA May 7, 2022,asdf,05/07/2022
D Comp,USPSA,FirstName,LastName,DQPistol,DQRifle,DQShotgun,Reentry,Class,Division,Match Points,Place Overall,Power Factor,Shotgun Division,Shotgun Power Factor,Shotgun Place Overall,Shotgun Entered,Shotgun Match Points,Rifle Division,Rifle Power Factor,Rifle Place Overall,Rifle Entered,Rifle Match Points,Aggregate,Aggregate Division,Aggregate Pistol Percent,Aggregate Pistol Points,Aggregate Place,Aggregate Rifle Percent,Aggregate Rifle Points,Aggregate Shotgun Percent,Aggregate Shotgun Points,Aggregate Total,Female,Age,Law,Military
E 1,A113268,Jim,Speedy,No,No,No,No,A,Carry Optics,615.5380,1,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 2,Ty24792,Alan,Kies,No,No,No,No,A,Carry Optics,600.1915,2,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 3,TY111193,Todd,Johansson,No,No,No,No,B,Carry Optics,567.3621,3,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 4,ty116087,Lucas,Newman,No,No,No,No,B,Carry Optics,528.8770,4,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 5,TY123198,Jay,Hennen,No,No,No,No,U,Carry Optics,526.7746,5,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 6,A136496,Mike,Hudson,No,No,No,No,U,Carry Optics,429.7895,6,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 7,A83609,scott,whiting,No,No,No,No,C,Carry Optics,402.4787,7,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 8,L4747,Bill,Saunders,No,No,No,No,D,Carry Optics,184.2140,8,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 9,a114926,R Michael,Harris,No,No,No,No,D,Carry Optics,24.2296,9,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 10,TY32511,Tom,Goodwin,No,No,No,No,C,Limited,550.6795,1,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 11,A136602,Johnnie,Freitas,No,No,No,No,U,Limited,505.0743,2,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 12,B6,M Dwight,Hughes,No,No,No,No,A,Limited,501.8981,3,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 13,fy105750,lee,boyle,No,No,No,No,C,Limited,418.5871,4,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 14,A110099,harold,martinez,No,No,No,No,A,Open,603.3685,1,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 15,Ty86951,Emilio,Domingo,No,No,No,No,A,Open,599.6307,2,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 16,A121109,Mike,Green,No,No,No,No,U,Open,520.4606,3,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 17,L3253,Scott,LeRoux,No,No,No,No,A,Open,510.5925,4,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 18,A86966,Nelson,Tablang,No,No,No,No,C,Open,508.2156,5,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 19,L4865,Clifford,Aguilar,No,No,No,No,C,Open,442.2163,6,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 20,A102707,Glenn,Taliman,No,No,No,No,C,Open,437.8215,7,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 21,Ty4702,Bruce,Wood,No,No,No,No,B,PCC,604.6051,1,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 22,a42954,Neal,Knudson,No,No,No,No,B,PCC,552.7151,2,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 23,TY138536,Todd,Bosnick,No,No,No,No,U,PCC,475.4328,3,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 24,TY116146,Richard,Lindquist,No,No,No,No,C,Production,560.4593,1,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 25,A133564,Jackson,Klopp,No,No,No,No,C,Production,533.4425,2,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 26,A91521,Bruce,Erlwein,No,No,No,No,B,Production,451.2220,3,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 27,FY-104954,Gregory,Cain,No,No,No,No,U,Production,330.2355,4,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 28,TY106402,Art,Tordini,No,No,No,No,B,Single Stack,623.3766,1,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 29,A83244,Steve,Blazina,No,No,No,No,C,Single Stack,498.5707,2,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
F Number,Guntype,Minimum Rounds,Maximum Points,Classifier,Classifier_No,Stage_name,ScoringType,TimesRun
G 1,Pistol,22,110,No,,Stage 1- MIDWAY,Comstock,1
G 2,Pistol,33,165,No,,Stage 2 - ON THE RUN,Comstock,1
G 3,Pistol,18,90,No,,Stage 3,Comstock,1
G 4,Pistol,18,90,No,,Stage 4,Comstock,3
G 5,Pistol,12,60,Yes,99-48,Tight Squeeze,Virginia,1
G 6,Pistol,28,140,No,,Stage 6 - DOWN THE MIDDLE,Comstock,1
H Gun,Stage,Comp,DQ,DNF,A,B,C,D,Miss,No Shoot,Procedural,Double Poppers,Double Popper Miss,Late Shot,Extra Shot,Extra Hit,No Penalty Miss,Additional Penalty,Total Penalty,T1,T2,T3,T4,T5,Time,Raw Points,Total Points,Hit Factor,Stage Points,Stage Place,Stage Power Factor
I Pistol,1,1,No,No,17,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17.36,0,0,0,0,17.36,100,100,5.7604,110.0000,1,
I Pistol,1,2,No,No,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.07,0,0,0,0,21.07,110,110,5.2207,99.6939,3,
I Pistol,1,3,No,No,16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18.07,0,0,0,0,18.07,98,98,5.4234,103.5647,2,
I Pistol,1,4,No,No,15,0,7,0,0,0,2,0,0,0,0,0,0,0,20,19.18,0,0,0,0,19.18,96,76,3.9625,75.6675,4,
I Pistol,1,5,No,No,17,0,4,1,0,2,0,0,0,0,0,0,0,0,20,19.97,0,0,0,0,19.97,98,78,3.9059,74.5867,5,
I Pistol,1,6,No,No,18,0,2,0,2,1,0,0,0,0,0,0,0,0,30,20.99,0,0,0,0,20.99,96,66,3.1444,60.0451,7,
I Pistol,1,7,No,No,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29.43,0,0,0,0,29.43,108,108,3.6697,70.0762,6,
I Pistol,1,8,No,No,17,0,5,0,0,0,0,0,0,0,0,0,0,0,0,59.24,0,0,0,0,59.24,100,100,1.6880,32.2339,8,
I Pistol,1,9,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.0000,0.0000,9,
I Pistol,1,10,No,No,17,0,5,0,0,0,0,0,0,0,0,0,0,0,0,25.9,0,0,0,0,25.90,105,105,4.0541,98.7710,2,
I Pistol,1,11,No,No,16,0,4,1,1,0,0,0,0,0,0,0,0,0,10,21.05,0,0,0,0,21.05,93,83,3.9430,96.0642,3,
I Pistol,1,12,No,No,15,0,6,1,0,0,0,0,0,0,0,0,0,0,0,22.37,0,0,0,0,22.37,101,101,4.5150,110.0000,1,
I Pistol,1,13,No,No,11,0,10,1,0,1,0,0,0,0,0,0,0,0,10,23.74,0,0,0,0,23.74,97,87,3.6647,89.2839,4,
I Pistol,1,14,No,No,14,0,6,2,0,0,0,0,0,0,0,0,0,0,0,17.34,0,0,0,0,17.34,98,98,5.6517,102.3252,2,
I Pistol,1,15,No,No,12,0,9,1,0,0,0,0,0,0,0,0,0,0,0,16.13,0,0,0,0,16.13,98,98,6.0756,110.0000,1,
I Pistol,1,16,No,No,15,0,4,2,1,0,0,0,0,0,0,0,0,0,10,15.07,0,0,0,0,15.07,95,85,5.6403,102.1188,3,
I Pistol,1,17,No,No,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19.91,0,0,0,0,19.91,107,107,5.3742,97.3010,5,
I Pistol,1,18,No,No,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,17.74,0,0,0,0,17.74,100,100,5.6370,102.0591,4,
I Pistol,1,19,No,No,15,0,6,1,0,0,0,0,0,0,0,0,0,0,0,27.14,0,0,0,0,27.14,101,101,3.7214,67.3767,7,
I Pistol,1,20,No,No,12,0,9,0,1,0,0,0,0,0,0,0,0,0,10,21.81,0,0,0,0,21.81,96,86,3.9431,71.3906,6,
I Pistol,1,21,No,No,16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,21.07,0,0,0,0,21.07,98,98,4.6512,94.0725,2,
I Pistol,1,22,No,No,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19.49,0,0,0,0,19.49,106,106,5.4387,110.0000,1,
I Pistol,1,23,No,No,14,0,8,0,0,0,0,0,0,0,0,0,0,0,0,23.23,0,0,0,0,23.23,94,94,4.0465,81.8422,3,
I Pistol,1,24,No,No,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,27.81,0,0,0,0,27.81,106,106,3.8116,110.0000,1,
I Pistol,1,25,No,No,8,0,13,0,1,0,0,0,0,0,0,0,0,0,10,21.56,0,0,0,0,21.56,79,69,3.2004,92.3612,2,
I Pistol,1,26,No,No,13,0,4,1,4,0,2,0,0,0,0,0,0,0,60,24,0,0,0,0,24.00,78,18,0.7500,21.6445,4,
I Pistol,1,27,No,No,16,0,4,2,0,0,0,0,0,0,0,0,0,0,0,39.69,0,0,0,0,39.69,94,94,2.3684,68.3503,3,
I Pistol,1,28,No,No,17,0,2,3,0,0,0,0,0,0,0,0,0,0,0,26.81,0,0,0,0,26.81,99,99,3.6927,110.0000,1,
I Pistol,1,29,No,No,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,37.43,0,0,0,0,37.43,107,107,2.8587,85.1564,2,
I Pistol,2,1,No,No,22,0,11,0,0,0,0,0,0,0,0,0,0,0,0,19.73,0,0,0,0,19.73,143,143,7.2478,165.0000,1,
I Pistol,2,2,No,No,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23.47,0,0,0,0,23.47,163,163,6.9450,158.1066,2,
I Pistol,2,3,No,No,21,0,11,0,1,2,0,0,0,0,0,0,0,0,30,18.87,0,0,0,0,18.87,138,108,5.7234,130.2962,5,
I Pistol,2,4,No,No,22,0,10,0,1,0,0,0,0,0,0,0,0,0,10,18.75,0,0,0,0,18.75,140,130,6.9333,157.8402,3,
I Pistol,2,5,No,No,21,0,12,0,0,0,0,0,0,0,0,0,0,0,0,23.25,0,0,0,0,23.25,141,141,6.0645,138.0615,4,
I Pistol,2,6,No,No,27,0,6,0,0,1,0,0,0,0,0,0,0,0,10,25.77,0,0,0,0,25.77,153,143,5.5491,126.3282,6,
I Pistol,2,7,No,No,24,0,8,0,1,1,0,0,0,0,0,0,0,0,20,28.84,0,0,0,0,28.84,144,124,4.2996,97.8827,7,
I Pistol,2,8,No,No,25,0,8,0,0,0,0,0,0,0,0,0,0,0,0,59.17,0,0,0,0,59.17,149,149,2.5182,57.3282,8,
I Pistol,2,9,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.0000,0.0000,9,
I Pistol,2,10,No,No,19,0,12,2,0,0,0,0,0,0,0,0,0,0,0,24.45,0,0,0,0,24.45,147,147,6.0123,165.0000,1,
I Pistol,2,11,No,No,22,0,7,3,1,0,0,0,0,0,0,0,0,0,10,26.25,0,0,0,0,26.25,134,124,4.7238,129.6387,3,
I Pistol,2,12,No,No,20,0,11,1,1,0,0,0,0,0,0,0,0,0,10,29.93,0,0,0,0,29.93,146,136,4.5439,124.7016,4,
I Pistol,2,13,No,No,17,0,14,2,0,0,0,0,0,0,0,0,0,0,0,25.53,0,0,0,0,25.53,145,145,5.6796,155.8695,2,
I Pistol,2,14,No,No,24,0,9,0,0,0,0,0,0,0,0,0,0,0,0,16.97,0,0,0,0,16.97,156,156,9.1927,165.0000,1,
I Pistol,2,15,No,No,24,0,9,0,0,0,0,0,0,0,0,0,0,0,0,20.21,0,0,0,0,20.21,156,156,7.7190,138.5485,3,
